,Milk,ChildBby,Vegges,Cereal,Bread,Rice,Meat,Eggs,YogChs,Chips,Soda,Fruit,Corn,Fish,Sauce,Beans,Tortya,Salt,Scented,Salza
Milk, 0.00, 0.72, 0.60, 0.01, 0.57, 0.11, 0.04, 0.01, 0.39,-0.65,-0.59,-0.01,-0.41,-0.01,-0.57,-0.00,-0.77,-0.02, 0.01,-0.56
ChildBby, 0.72, 0.00, 0.61,-0.06, 0.27, 0.19,-0.08,-0.04, 0.49,-0.76,-0.58,-0.00,-0.45,-0.22,-0.55, 0.00,-0.63,-0.01,-0.23,-0.47
Vegges, 0.60, 0.61, 0.00,-0.31, 0.12, 0.24,-0.43,-0.01, 0.76,-0.69,-0.83, 0.03,-0.64, 0.05,-0.61, 0.03,-0.34,-0.01,-0.42,-0.61
Cereal, 0.01,-0.06,-0.31, 0.00, 0.28,-0.14, 0.38, 0.04,-0.40, 0.19, 0.33, 0.02, 0.30,-0.09, 0.16,-0.03,-0.19, 0.02, 0.37, 0.17
